GO;NS;enrichment;name;ratio_in_study;ratio_in_pop;p_uncorrected;depth;study_count;p_bonferroni;p_fdr_bh;study_items
GO:0006468;BP;e;protein phosphorylation;37/956;415/46923;9.53951E-14;6;37;3.48097E-10;3.16452E-11;171784.0, 172051.0, 172677.0, 172891.0, 173322.0, 173794.0, 173918.0, 174473.0, 174623.0, 176328.0, 176774.0, 176808.0, 177611.0, 177615.0, 178068.0, 178250.0, 178895.0, 179649.0, 179685.0, 179768.0, 179912.0, 180311.0, 180574.0, 180655.0, 180810.0, 180844.0, 181212.0, 181248.0, 181261.0, 181400.0, 181471.0, 181727.0, 181756.0, 181830.0, 185682.0, 190400.0, 3565400.0
GO:0002119;BP;e;nematode larval development;25/956;212/46923;2.27299E-12;5;25;8.29415E-09;6.91179E-10;171988.0, 172823.0, 173322.0, 173904.0, 174329.0, 174476.0, 174614.0, 175101.0, 175270.0, 175622.0, 175698.0, 176506.0, 177622.0, 178104.0, 178229.0, 178403.0, 178942.0, 179077.0, 179388.0, 179732.0, 180783.0, 181248.0, 184091.0, 266648.0, 266825.0
GO:0030154;BP;e;cell differentiation;28/956;278/46923;5.35934E-12;3;28;1.95562E-08;1.50433E-09;171805.0, 172640.0, 173007.0, 173073.0, 173740.0, 173749.0, 174230.0, 174614.0, 175101.0, 176157.0, 176758.0, 177236.0, 177335.0, 179732.0, 179819.0, 180311.0, 180357.0, 180549.0, 180783.0, 181231.0, 181523.0, 181756.0, 181783.0, 182371.0, 182874.0, 185980.0, 190400.0, 3565400.0
GO:0048489;BP;e;synaptic vesicle transport;9/956;16/46923;5.86538E-12;5;9;2.14028E-08;1.52877E-09;176179.0, 176349.0, 176758.0, 176774.0, 178284.0, 178942.0, 181255.0, 181471.0, 188812.0
GO:0007165;BP;e;signal transduction;32/956;401/46923;8.01646E-11;4;32;2.92521E-07;1.95014E-08;171635.0, 171687.0, 171776.0, 172483.0, 172505.0, 172891.0, 173217.0, 174230.0, 174419.0, 174693.0, 174728.0, 174803.0, 176168.0, 177511.0, 177894.0, 177931.0, 178104.0, 178537.0, 178768.0, 178895.0, 179768.0, 180011.0, 180690.0, 180714.0, 180723.0, 180799.0, 180893.0, 181212.0, 181248.0, 181689.0, 259560.0, 353411.0
GO:0008104;BP;e;protein localization;14/956;69/46923;1.05789E-10;4;14;3.86025E-07;2.41265E-08;172184.0, 172597.0, 172891.0, 174230.0, 177102.0, 178220.0, 179109.0, 179737.0, 180571.0, 180990.0, 181163.0, 181255.0, 181471.0, 181759.0
GO:0016567;BP;e;protein ubiquitination;19/956;152/46923;3.56154E-10;9;19;1.29961E-06;7.64474E-08;171953.0, 172303.0, 173144.0, 173778.0, 173813.0, 174525.0, 175667.0, 176322.0, 176575.0, 177084.0, 177335.0, 177580.0, 178006.0, 178437.0, 178619.0, 179259.0, 181076.0, 187461.0, 190778.0
GO:0032880;BP;e;regulation of protein localization;10/956;33/46923;7.12081E-10;5;10;2.59838E-06;1.44355E-07;171776.0, 172184.0, 172450.0, 174267.0, 175698.0, 176774.0, 178619.0, 179624.0, 180311.0, 188812.0
GO:0040012;BP;e;regulation of locomotion;11/956;43/46923;7.52473E-10;3;11;2.74577E-06;1.44514E-07;171818.0, 171988.0, 172483.0, 172493.0, 172505.0, 172823.0, 173336.0, 178537.0, 179077.0, 179649.0, 180714.0
GO:0007409;BP;e;axonogenesis;7/956;12/46923;1.03301E-09;8;7;3.76947E-06;1.88473E-07;172952.0, 173357.0, 173794.0, 176774.0, 180311.0, 180783.0, 181471.0
GO:0051965;BP;e;positive regulation of synapse assembly;6/956;9/46923;5.61333E-09;7;6;2.0483E-05;9.75382E-07;172233.0, 175610.0, 175667.0, 176774.0, 179259.0, 3565419.0
GO:0045944;BP;e;positive regulation of transcription by RNA polymerase II;21/956;226/46923;1.00426E-08;10;21;3.66453E-05;1.66569E-06;171705.0, 171784.0, 171920.0, 172435.0, 172889.0, 172928.0, 173749.0, 175357.0, 175541.0, 175890.0, 176157.0, 176426.0, 180357.0, 180672.0, 181231.0, 181292.0, 181573.0, 185460.0, 188793.0, 192081.0, 266825.0
GO:0008045;BP;e;motor neuron axon guidance;9/956;34/46923;1.93503E-08;9;9;7.06091E-05;3.06304E-06;171988.0, 172233.0, 174685.0, 174693.0, 175101.0, 175953.0, 179794.0, 190098.0, 3565400.0
GO:0008340;BP;e;determination of adult lifespan;22/956;257/46923;2.0146E-08;2;22;7.35129E-05;3.06304E-06;172303.0, 172832.0, 172889.0, 173904.0, 174623.0, 174860.0, 175541.0, 175667.0, 176022.0, 176426.0, 176506.0, 177622.0, 177924.0, 178895.0, 180311.0, 180357.0, 180942.0, 181053.0, 181727.0, 182350.0, 187120.0, 266845.0
GO:0006511;BP;e;ubiquitin-dependent protein catabolic process;14/956;108/46923;4.59001E-08;8;14;0.00016749;6.69958E-06;172434.0, 172775.0, 172936.0, 173144.0, 175667.0, 177084.0, 177335.0, 178006.0, 178437.0, 179039.0, 181076.0, 181600.0, 182077.0, 182932.0
GO:0050775;BP;e;positive regulation of dendrite morphogenesis;5/956;7/46923;7.05227E-08;10;5;0.000257337;9.6445E-06;173051.0, 176179.0, 177602.0, 180350.0, 187968.0
GO:0016055;BP;e;Wnt signaling pathway;9/956;39/46923;7.13625E-08;6;9;0.000260402;9.6445E-06;173894.0, 174473.0, 175020.0, 175890.0, 176575.0, 176808.0, 178768.0, 179217.0, 182932.0
GO:0016477;BP;e;cell migration;10/956;52/46923;8.57715E-08;3;10;0.00031298;1.11779E-05;171988.0, 172455.0, 173007.0, 174230.0, 174473.0, 175953.0, 179624.0, 180311.0, 180690.0, 3565400.0
GO:0018991;BP;e;egg-laying behavior;12/956;81/46923;9.31084E-08;4;12;0.000339752;1.17156E-05;171988.0, 172303.0, 172893.0, 173635.0, 174693.0, 176168.0, 176349.0, 179259.0, 180420.0, 181255.0, 181400.0, 266825.0
GO:0009792;BP;e;embryo development ending in birth or egg hatching;23/956;305/46923;1.00242E-07;5;23;0.000365784;1.21928E-05;171635.0, 171988.0, 173007.0, 173635.0, 173794.0, 174419.0, 174803.0, 175101.0, 175270.0, 175376.0, 175953.0, 176179.0, 176209.0, 176328.0, 176758.0, 176808.0, 177602.0, 178250.0, 180311.0, 181163.0, 181644.0, 184091.0, 266825.0
GO:0050808;BP;e;synapse organization;6/956;13/46923;1.06928E-07;5;6;0.000390181;1.25865E-05;172706.0, 176732.0, 180555.0, 181255.0, 181471.0, 192081.0
GO:0001764;BP;e;neuron migration;9/956;41/46923;1.13753E-07;4;9;0.000415085;1.29714E-05;171988.0, 172233.0, 174473.0, 174685.0, 175698.0, 176168.0, 178768.0, 179217.0, 180637.0
GO:0008088;BP;e;axo-dendritic transport;4/956;4/46923;1.71244E-07;7;4;0.000624869;1.89354E-05;174230.0, 178405.0, 181255.0, 181471.0
GO:0035556;BP;e;intracellular signal transduction;15/956;139/46923;1.81648E-07;5;15;0.000662835;1.92758E-05;172051.0, 172823.0, 173894.0, 174623.0, 175622.0, 176808.0, 177611.0, 178068.0, 178537.0, 179649.0, 179912.0, 180574.0, 180655.0, 187467.0, 3565400.0
GO:0048813;BP;e;dendrite morphogenesis;5/956;8/46923;1.84887E-07;8;5;0.000674653;1.92758E-05;172233.0, 173051.0, 177602.0, 180350.0, 187968.0
GO:0040017;BP;e;positive regulation of locomotion;10/956;58/46923;2.53361E-07;4;10;0.000924513;2.56809E-05;171715.0, 172233.0, 175622.0, 177513.0, 178537.0, 180342.0, 180374.0, 190098.0, 266844.0, 3565180.0
GO:0033563;BP;e;dorsal/ventral axon guidance;7/956;23/46923;2.62875E-07;9;7;0.00095923;2.59251E-05;172233.0, 172706.0, 178619.0, 179259.0, 180637.0, 181248.0, 190098.0
GO:0030334;BP;e;regulation of cell migration;10/956;59/46923;2.99514E-07;5;10;0.001092926;2.87612E-05;171981.0, 172233.0, 172455.0, 172893.0, 173518.0, 175020.0, 175101.0, 176168.0, 177473.0, 181248.0
GO:0032259;BP;e;methylation;12/956;91/46923;3.4484E-07;2;12;0.001258321;3.22646E-05;173142.0, 173437.0, 174691.0, 174737.0, 175414.0, 175476.0, 178403.0, 178981.0, 179920.0, 181371.0, 188022.0, 266825.0
GO:0040024;BP;e;dauer larval development;11/956;75/46923;3.54148E-07;6;11;0.001292288;3.23072E-05;175667.0, 176000.0, 176506.0, 177622.0, 177924.0, 179649.0, 180311.0, 180574.0, 181164.0, 181573.0, 266845.0
GO:0019915;BP;e;lipid storage;7/956;24/46923;3.64578E-07;3;7;0.001330343;3.24474E-05;171886.0, 172522.0, 172832.0, 174974.0, 176000.0, 181164.0, 259621.0
GO:0016079;BP;e;synaptic vesicle exocytosis;5/956;9/46923;4.08979E-07;8;5;0.001492365;3.47062E-05;172497.0, 177282.0, 177539.0, 179649.0, 266648.0
GO:0031175;BP;e;neuron projection development;5/956;9/46923;4.08979E-07;6;5;0.001492365;3.47062E-05;172233.0, 175697.0, 177074.0, 178619.0, 180655.0
GO:0000462;BP;e;maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);6/956;16/46923;4.73536E-07;11;6;0.001727931;3.92712E-05;172320.0, 173339.0, 173778.0, 173779.0, 178667.0, 178851.0
GO:0010172;BP;e;embryonic body morphogenesis;8/956;37/46923;6.59451E-07;4;8;0.002406336;5.34741E-05;173794.0, 174685.0, 175270.0, 175953.0, 176449.0, 176450.0, 179077.0, 179624.0
GO:0001708;BP;e;cell fate specification;11/956;81/46923;7.84576E-07;3;11;0.002862917;6.10944E-05;172889.0, 172893.0, 175698.0, 175890.0, 176449.0, 176450.0, 179732.0, 180672.0, 181573.0, 188793.0, 260030.0
GO:0007416;BP;e;synapse assembly;5/956;10/46923;8.04169E-07;6;5;0.002934411;6.10944E-05;174685.0, 180555.0, 181115.0, 181292.0, 181471.0
GO:0043051;BP;e;regulation of nematode pharyngeal pumping;8/956;38/46923;8.20396E-07;7;8;0.002993627;6.10944E-05;172483.0, 172497.0, 172505.0, 172823.0, 177513.0, 178537.0, 180990.0, 266648.0
GO:0098609;BP;e;cell-cell adhesion;8/956;38/46923;8.20396E-07;3;8;0.002993627;6.10944E-05;172233.0, 173007.0, 175590.0, 177602.0, 179624.0, 180555.0, 180637.0, 184652.0
GO:1903859;BP;e;regulation of dendrite extension;4/956;5/46923;8.42321E-07;6;4;0.003073629;6.14726E-05;173051.0, 177602.0, 180350.0, 187968.0
GO:0006897;BP;e;endocytosis;12/956;102/46923;1.20363E-06;5;12;0.00439205;8.61186E-05;171981.0, 172891.0, 173638.0, 173985.0, 175823.0, 178284.0, 178377.0, 179109.0, 180492.0, 180713.0, 181163.0, 181644.0
GO:0006396;BP;e;RNA processing;8/956;40/46923;1.24452E-06;7;8;0.004541236;8.73315E-05;172070.0, 173437.0, 173696.0, 174151.0, 174380.0, 176022.0, 176063.0, 176504.0
GO:0018105;BP;e;peptidyl-serine phosphorylation;14/956;145/46923;1.78823E-06;8;14;0.006525247;0.000123118;172891.0, 174623.0, 176328.0, 176808.0, 178068.0, 178250.0, 179649.0, 179768.0, 179912.0, 180311.0, 180655.0, 181471.0, 181727.0, 190400.0
GO:0040025;BP;e;vulval development;10/956;72/46923;2.01371E-06;4;10;0.007348042;0.000136075;173635.0, 173740.0, 175020.0, 175890.0, 176168.0, 178229.0, 179732.0, 179912.0, 181292.0, 187120.0
GO:0007212;BP;e;dopamine receptor signaling pathway;5/956;12/46923;2.44295E-06;5;5;0.008914314;0.000153695;172483.0, 172505.0, 172823.0, 178537.0, 180714.0
GO:0000470;BP;e;maturation of LSU-rRNA;5/956;12/46923;2.44295E-06;10;5;0.008914314;0.000153695;171892.0, 173437.0, 175903.0, 176531.0, 178728.0
GO:0048814;BP;e;regulation of dendrite morphogenesis;5/956;12/46923;2.44295E-06;9;5;0.008914314;0.000153695;173051.0, 176179.0, 177602.0, 180350.0, 187968.0
GO:0006360;BP;e;transcription by RNA polymerase I;5/956;12/46923;2.44295E-06;9;5;0.008914314;0.000153695;172752.0, 174999.0, 176362.0, 176838.0, 178823.0
GO:0000027;BP;e;ribosomal large subunit assembly;5/956;13/46923;3.90296E-06;7;5;0.014241897;0.000237365;171886.0, 171892.0, 173439.0, 176134.0, 180246.0
GO:0050807;BP;e;regulation of synapse organization;5/956;13/46923;3.90296E-06;5;5;0.014241897;0.000237365;176444.0, 179259.0, 180014.0, 181255.0, 185682.0
GO:0010171;BP;e;body morphogenesis;6/956;22/46923;3.97398E-06;3;6;0.014501058;0.000237722;174834.0, 179259.0, 180713.0, 180783.0, 181248.0, 184091.0
GO:0046662;BP;e;regulation of egg-laying behavior;8/956;48/46923;5.28833E-06;5;8;0.019297134;0.000311244;172105.0, 172483.0, 172497.0, 172505.0, 172823.0, 174803.0, 178537.0, 266844.0
GO:0032224;BP;e;positive regulation of synaptic transmission, cholinergic;4/956;7/46923;5.70657E-06;8;4;0.020823277;0.000330528;171715.0, 177570.0, 180990.0, 182722.0
GO:0097402;BP;e;neuroblast migration;5/956;14/46923;5.96911E-06;4;5;0.021781288;0.000340333;172233.0, 174473.0, 174685.0, 178768.0, 179217.0
GO:0007268;BP;e;chemical synaptic transmission;13/956;140/46923;6.38961E-06;8;13;0.023315669;0.000358703;172105.0, 172497.0, 172597.0, 173985.0, 176774.0, 177370.0, 179574.0, 180420.0, 180714.0, 181475.0, 191638.0, 259560.0, 3565200.0
GO:0000122;BP;e;negative regulation of transcription by RNA polymerase II;12/956;120/46923;6.72656E-06;10;12;0.024545208;0.000371897;172435.0, 173074.0, 173244.0, 174134.0, 174285.0, 175531.0, 176426.0, 177144.0, 177568.0, 181231.0, 181292.0, 188793.0
GO:0009410;BP;e;response to xenobiotic stimulus;6/956;24/46923;6.92352E-06;3;6;0.025263922;0.000377073;172505.0, 172889.0, 180203.0, 180374.0, 180458.0, 3565180.0
GO:0000132;BP;e;establishment of mitotic spindle orientation;8/956;50/46923;7.2586E-06;9;8;0.026486624;0.000389509;173007.0, 174803.0, 175020.0, 176307.0, 176758.0, 177602.0, 179217.0, 181540.0
GO:0010591;BP;e;regulation of lamellipodium assembly;3/956;3/46923;8.43102E-06;8;3;0.03076479;0.000440792;174673.0, 181227.0, 181711.0
GO:0008033;BP;e;tRNA processing;8/956;51/46923;8.45586E-06;9;8;0.03085543;0.000440792;172070.0, 172182.0, 173142.0, 174509.0, 175740.0, 178131.0, 179920.0, 180244.0
GO:0051016;BP;e;barbed-end actin filament capping;4/956;8/46923;1.12283E-05;13;4;0.040971902;0.000569054;174673.0, 177497.0, 180760.0, 181711.0
GO:0032511;BP;e;late endosome to vacuole transport via multivesicular body sorting pathway;4/956;8/46923;1.12283E-05;7;4;0.040971902;0.000569054;171654.0, 171806.0, 174028.0, 174091.0
GO:0007271;BP;e;synaptic transmission, cholinergic;6/956;26/46923;1.1438E-05;9;6;0.041737393;0.000571745;171715.0, 172613.0, 177570.0, 180990.0, 182722.0, 266648.0
GO:0036503;BP;e;ERAD pathway;7/956;39/46923;1.2417E-05;8;7;0.045309699;0.000604129;172434.0, 173028.0, 173228.0, 176218.0, 176390.0, 180880.0, 259498.0
GO:0006816;BP;e;calcium ion transport;7/956;39/46923;1.2417E-05;7;7;0.045309699;0.000604129;174352.0, 174730.0, 177513.0, 178287.0, 178417.0, 181591.0, 181594.0
GO:0006898;BP;e;receptor-mediated endocytosis;5/956;16/46923;1.25892E-05;6;5;0.045938135;0.000604449;175376.0, 180449.0, 180713.0, 181163.0, 181644.0
GO:0042274;BP;e;ribosomal small subunit biogenesis;5/956;17/46923;1.75351E-05;5;5;0.063985585;0.000830982;172182.0, 172420.0, 173854.0, 174151.0, 174534.0
GO:0032228;BP;e;regulation of synaptic transmission, GABAergic;4/956;9/46923;1.98837E-05;7;4;0.072555531;0.000906944;171988.0, 172613.0, 177370.0, 181248.0
GO:0072583;BP;e;clathrin-dependent endocytosis;4/956;9/46923;1.98837E-05;7;4;0.072555531;0.000906944;179150.0, 180713.0, 181163.0, 184091.0
GO:0048858;BP;e;cell projection morphogenesis;4/956;9/46923;1.98837E-05;5;4;0.072555531;0.000906944;172233.0, 174693.0, 176168.0, 178619.0
GO:0006811;BP;e;monoatomic ion transport;24/956;450/46923;2.27997E-05;4;24;0.083195962;0.001027111;171805.0, 172105.0, 172389.0, 172613.0, 174352.0, 174730.0, 177370.0, 177513.0, 178287.0, 179574.0, 179796.0, 180203.0, 180968.0, 181024.0, 181258.0, 181328.0, 181475.0, 181591.0, 181594.0, 183583.0, 185149.0, 191510.0, 191638.0, 3565200.0
GO:0042273;BP;e;ribosomal large subunit biogenesis;5/956;18/46923;2.38716E-05;5;5;0.087107605;0.001062288;172226.0, 173854.0, 173968.0, 174168.0, 180039.0
GO:0016197;BP;e;endosomal transport;5/956;19/46923;3.18534E-05;5;5;0.116233175;0.001330168;173985.0, 174834.0, 176435.0, 177282.0, 178491.0
GO:0060290;BP;e;transdifferentiation;4/956;10/46923;3.26033E-05;4;4;0.118969611;0.001330168;172435.0, 172640.0, 179671.0, 181111.0
GO:0070593;BP;e;dendrite self-avoidance;4/956;10/46923;3.26033E-05;4;4;0.118969611;0.001330168;173051.0, 177602.0, 180350.0, 187968.0
GO:0007254;BP;e;JNK cascade;4/956;10/46923;3.26033E-05;8;4;0.118969611;0.001330168;178895.0, 180810.0, 185682.0, 3565400.0
GO:0007413;BP;e;axonal fasciculation;4/956;10/46923;3.26033E-05;8;4;0.118969611;0.001330168;172893.0, 175101.0, 175953.0, 180014.0
GO:0045943;BP;e;positive regulation of transcription by RNA polymerase I;3/956;4/46923;3.32103E-05;10;3;0.121184554;0.001330168;171811.0, 173779.0, 6418594.0
GO:0035269;BP;e;protein O-linked mannosylation;3/956;4/46923;3.32103E-05;8;3;0.121184554;0.001330168;178832.0, 185454.0, 187206.0
GO:0019953;BP;e;sexual reproduction;3/956;4/46923;3.32103E-05;2;3;0.121184554;0.001330168;174419.0, 175221.0, 175953.0
GO:0040014;BP;e;regulation of multicellular organism growth;6/956;31/46923;3.35367E-05;5;6;0.122375452;0.001330168;174329.0, 174476.0, 179671.0, 180311.0, 180574.0, 266825.0
GO:0030421;BP;e;defecation;6/956;31/46923;3.35367E-05;4;6;0.122375452;0.001330168;174860.0, 175953.0, 176349.0, 180420.0, 180990.0, 266648.0
GO:0010629;BP;e;negative regulation of gene expression;8/956;63/46923;4.14768E-05;8;8;0.151348978;0.001621038;172483.0, 172775.0, 174341.0, 175667.0, 175731.0, 176322.0, 176506.0, 180549.0
GO:0006891;BP;e;intra-Golgi vesicle-mediated transport;5/956;20/46923;4.17587E-05;6;5;0.152377553;0.001621038;176344.0, 176766.0, 177473.0, 178397.0, 181759.0
GO:0043058;BP;e;regulation of backward locomotion;4/956;11/46923;5.04056E-05;4;4;0.183929903;0.00188778;171953.0, 172597.0, 178284.0, 266844.0
GO:0030516;BP;e;regulation of axon extension;4/956;11/46923;5.04056E-05;7;4;0.183929903;0.00188778;176444.0, 180014.0, 180311.0, 181471.0
GO:0038007;BP;e;netrin-activated signaling pathway;4/956;11/46923;5.04056E-05;6;4;0.183929903;0.00188778;171988.0, 172233.0, 3565400.0, 3565419.0
GO:0040018;BP;e;positive regulation of multicellular organism growth;7/956;48/46923;5.06995E-05;6;7;0.185002467;0.00188778;172233.0, 173437.0, 174693.0, 178284.0, 180574.0, 180990.0, 189586.0
GO:0045167;BP;e;asymmetric protein localization involved in cell fate determination;5/956;21/46923;5.38893E-05;5;5;0.196641952;0.001986282;176808.0, 177084.0, 178250.0, 179217.0, 179912.0
GO:0051726;BP;e;regulation of cell cycle;6/956;34/46923;5.81534E-05;4;6;0.212201909;0.002122019;171784.0, 172677.0, 176774.0, 177615.0, 181053.0, 260184.0
GO:0006355;BP;e;regulation of DNA-templated transcription;26/956;537/46923;6.89779E-05;8;26;0.251700412;0.002492083;171920.0, 172640.0, 172889.0, 173740.0, 173749.0, 174154.0, 174341.0, 174614.0, 175172.0, 175541.0, 175698.0, 176157.0, 176449.0, 176450.0, 178707.0, 179423.0, 180357.0, 180672.0, 181231.0, 181292.0, 181573.0, 181783.0, 182874.0, 187002.0, 260030.0, 266825.0
GO:0000463;BP;e;maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);4/956;12/46923;7.43869E-05;11;4;0.271437697;0.002635317;171892.0, 172226.0, 172954.0, 175414.0
GO:0035545;BP;e;determination of left/right asymmetry in nervous system;4/956;12/46923;7.43869E-05;6;4;0.271437697;0.002635317;171805.0, 172233.0, 177513.0, 180342.0
GO:0000165;BP;e;MAPK cascade;6/956;36/46923;8.13541E-05;7;6;0.296861231;0.002814632;176808.0, 177611.0, 178895.0, 179649.0, 181248.0, 185682.0
GO:0018108;BP;e;peptidyl-tyrosine phosphorylation;3/956;5/46923;8.17624E-05;8;3;0.298350941;0.002814632;173794.0, 174473.0, 178250.0
GO:0030517;BP;e;negative regulation of axon extension;3/956;5/46923;8.17624E-05;10;3;0.298350941;0.002814632;175610.0, 175667.0, 179259.0
GO:0048665;BP;e;neuron fate specification;5/956;23/46923;8.61498E-05;4;5;0.314360658;0.00293795;176157.0, 177144.0, 181573.0, 188793.0, 192081.0
GO:0045893;BP;e;positive regulation of DNA-templated transcription;8/956;71/46923;9.87554E-05;9;8;0.360358352;0.003336651;174614.0, 175698.0, 176426.0, 176449.0, 176450.0, 176937.0, 260030.0, 3565074.0
GO:0031103;BP;e;axon regeneration;4/956;13/46923;0.000105713;8;4;0.385746942;0.003424901;176168.0, 178895.0, 185682.0, 190098.0
GO:0032094;BP;e;response to food;4/956;13/46923;0.000105713;3;4;0.385746942;0.003424901;172483.0, 172505.0, 172823.0, 180714.0
GO:0035418;BP;e;protein localization to synapse;4/956;13/46923;0.000105713;6;4;0.385746942;0.003424901;174685.0, 178284.0, 178537.0, 180342.0
GO:0034976;BP;e;response to endoplasmic reticulum stress;5/956;24/46923;0.000106999;4;5;0.390438746;0.003424901;173918.0, 175472.0, 175541.0, 176506.0, 177471.0
GO:0060070;BP;e;canonical Wnt signaling pathway;5/956;24/46923;0.000106999;7;5;0.390438746;0.003424901;173894.0, 175020.0, 176808.0, 178768.0, 179217.0
GO:0006972;BP;e;hyperosmotic response;5/956;24/46923;0.000106999;4;5;0.390438746;0.003424901;172493.0, 173336.0, 180810.0, 182350.0, 190400.0
GO:0035262;BP;e;gonad morphogenesis;6/956;39/46923;0.000129377;4;6;0.472095035;0.004101549;172233.0, 173437.0, 173518.0, 177473.0, 190098.0, 3565400.0
GO:0032502;BP;e;developmental process;5/956;25/46923;0.00013151;1;5;0.479881233;0.004101549;175698.0, 176449.0, 176450.0, 185980.0, 260030.0
GO:0090630;BP;e;activation of GTPase activity;5/956;25/46923;0.00013151;7;5;0.479881233;0.004101549;173742.0, 174230.0, 180856.0, 181091.0, 181406.0
GO:0018230;BP;e;peptidyl-L-cysteine S-palmitoylation;4/956;14/46923;0.000145611;9;4;0.531333203;0.004502824;172257.0, 173045.0, 178158.0, 178394.0
