GO;NS;enrichment;name;ratio_in_study;ratio_in_pop;p_uncorrected;depth;study_count;p_bonferroni;p_fdr_bh;study_items
GO:0061096;BP;e;negative regulation of turning behavior involved in mating;2/111;7/46923;0.00011556;7;2;0.421679185;0.030119942;181165.0, 181728.0
GO:0005832;CC;e;chaperonin-containing T-complex;6/111;9/46923;1.27602E-14;4;6;1.19435E-11;1.19435E-11;174318.0, 174330.0, 174421.0, 175588.0, 175819.0, 178670.0
GO:0005737;CC;e;cytoplasm;22/111;2388/46923;3.80232E-08;2;22;3.55897E-05;1.77948E-05;171791.0, 173078.0, 174318.0, 174330.0, 174421.0, 174744.0, 174848.0, 175419.0, 175588.0, 175819.0, 176013.0, 176511.0, 176868.0, 178670.0, 179344.0, 180358.0, 180446.0, 181036.0, 182257.0, 184211.0, 189655.0, 3564761.0
GO:0005874;CC;e;microtubule;6/111;96/46923;1.1918E-07;6;6;0.000111553;3.71843E-05;171791.0, 174744.0, 175419.0, 176511.0, 180358.0, 181036.0
GO:0016020;CC;e;membrane;35/111;6341/46923;8.85365E-07;2;35;0.000828701;0.000207175;172686.0, 172819.0, 173698.0, 174146.0, 174848.0, 175116.0, 177584.0, 180701.0, 180770.0, 180826.0, 180944.0, 181728.0, 183255.0, 183626.0, 184211.0, 184568.0, 185657.0, 185801.0, 186433.0, 187297.0, 188219.0, 188609.0, 189018.0, 191285.0, 191652.0, 191808.0, 191958.0, 3565391.0, 3565432.0, 3565588.0, 4363052.0, 4927046.0, 6418804.0, 13179502.0, 13218874.0
GO:0043025;CC;e;neuronal cell body;5/111;162/46923;4.39871E-05;3;5;0.041171905;0.008234381;175419.0, 180358.0, 180701.0, 180944.0, 181036.0
GO:0044306;CC;e;neuron projection terminus;2/111;5/46923;5.51994E-05;2;2;0.051666643;0.008611107;177584.0, 191652.0
GO:0043005;CC;e;neuron projection;5/111;212/46923;0.000156034;4;5;0.146047442;0.019070579;180701.0, 180826.0, 180944.0, 181036.0, 184568.0
GO:0042995;CC;e;cell projection;5/111;214/46923;0.000162996;2;5;0.152564634;0.019070579;177584.0, 180446.0, 180944.0, 181728.0, 191652.0
GO:0032589;CC;e;neuron projection membrane;2/111;11/46923;0.000300789;5;2;0.281538768;0.031282085;180826.0, 181728.0
GO:0005886;CC;e;plasma membrane;11/111;1358/46923;0.000386809;3;11;0.362052975;0.036205297;174848.0, 175116.0, 177584.0, 179344.0, 180770.0, 180826.0, 180944.0, 181051.0, 190681.0, 191285.0, 191652.0
GO:0140662;MF;e;ATP-dependent protein folding chaperone;6/111;24/46923;1.98657E-11;2;6;4.41218E-08;4.41218E-08;174318.0, 174330.0, 174421.0, 175588.0, 175819.0, 178670.0
GO:0051082;MF;e;unfolded protein binding;7/111;55/46923;6.32148E-11;3;7;1.404E-07;7.02E-08;174318.0, 174330.0, 174421.0, 175588.0, 175819.0, 176013.0, 178670.0
GO:0000166;MF;e;nucleotide binding;15/111;1015/46923;1.88958E-08;4;15;4.19677E-05;1.39892E-05;171963.0, 174318.0, 174330.0, 174421.0, 175116.0, 175419.0, 175588.0, 175819.0, 176511.0, 177584.0, 178670.0, 180770.0, 181036.0, 189655.0, 191652.0
GO:0005524;MF;e;ATP binding;13/111;947/46923;4.13003E-07;8;13;0.000917279;0.00022932;171963.0, 174318.0, 174330.0, 174421.0, 175116.0, 175588.0, 175819.0, 176511.0, 177584.0, 178670.0, 180770.0, 187873.0, 189655.0
GO:0016887;MF;e;ATP hydrolysis activity;6/111;170/46923;3.4213E-06;7;6;0.007598699;0.00151974;174318.0, 174330.0, 174421.0, 175819.0, 176511.0, 178670.0
GO:0001653;MF;e;peptide receptor activity;3/111;26/46923;3.21918E-05;3;3;0.071498069;0.011916345;175116.0, 177584.0, 191652.0
GO:0004016;MF;e;adenylate cyclase activity;3/111;31/46923;5.51772E-05;4;3;0.122548501;0.017506929;175116.0, 177584.0, 191652.0
GO:0004383;MF;e;guanylate cyclase activity;3/111;34/46923;7.30763E-05;4;3;0.162302494;0.020287812;175116.0, 177584.0, 191652.0
GO:0005525;MF;e;GTP binding;5/111;215/46923;0.000166566;8;5;0.369942201;0.041104689;175116.0, 175419.0, 177584.0, 181036.0, 191652.0
GO:0046872;MF;e;metal ion binding;13/111;1695/46923;0.000191113;5;13;0.424460969;0.042446097;172686.0, 174848.0, 175116.0, 175419.0, 177584.0, 179344.0, 181036.0, 182733.0, 182887.0, 184211.0, 185907.0, 187822.0, 191652.0
