GO;NS;enrichment;name;ratio_in_study;ratio_in_pop;p_uncorrected;depth;study_count;p_bonferroni;p_fdr_bh;study_items
GO:0015031;BP;e;protein transport;31/908;228/46923;2.26679E-17;6;31;8.33497E-14;7.57725E-15;171601.0, 171646.0, 171691.0, 171860.0, 172648.0, 172686.0, 173436.0, 174675.0, 175331.0, 175801.0, 175833.0, 176101.0, 176503.0, 177027.0, 177072.0, 177217.0, 177242.0, 177533.0, 177595.0, 177779.0, 177902.0, 178078.0, 178402.0, 178407.0, 179160.0, 179213.0, 179510.0, 179691.0, 180843.0, 181669.0, 3565440.0
GO:0006397;BP;e;mRNA processing;23/908;130/46923;8.64008E-16;8;23;3.17696E-12;2.64746E-13;171834.0, 173073.0, 173204.0, 173915.0, 174072.0, 174073.0, 174193.0, 174333.0, 174645.0, 174659.0, 174747.0, 174901.0, 175572.0, 176103.0, 176153.0, 176668.0, 176688.0, 177566.0, 177988.0, 178483.0, 179639.0, 180069.0, 190601.0
GO:0006099;BP;e;tricarboxylic acid cycle;13/908;28/46923;1.40384E-15;3;13;5.16193E-12;3.97072E-13;172655.0, 175598.0, 175936.0, 176059.0, 176121.0, 176437.0, 177235.0, 177775.0, 179041.0, 179063.0, 181280.0, 181324.0, 181570.0
GO:0006511;BP;e;ubiquitin-dependent protein catabolic process;21/908;108/46923;2.10691E-15;8;21;7.74711E-12;5.53365E-13;171647.0, 171734.0, 172139.0, 172434.0, 172773.0, 172775.0, 172942.0, 174715.0, 174782.0, 175840.0, 175972.0, 175985.0, 177084.0, 177486.0, 177855.0, 178006.0, 178839.0, 178840.0, 178943.0, 179358.0, 179493.0
GO:0000398;BP;e;mRNA splicing, via spliceosome;20/908;98/46923;3.65289E-15;11;20;1.34317E-11;8.95445E-13;171834.0, 173204.0, 173915.0, 174073.0, 174193.0, 174333.0, 174645.0, 174747.0, 174901.0, 175244.0, 176103.0, 176153.0, 176668.0, 177101.0, 177392.0, 177566.0, 177674.0, 180069.0, 185872.0, 190601.0
GO:0051603;BP;e;proteolysis involved in protein catabolic process;15/908;50/46923;2.13716E-14;6;15;7.85832E-11;4.91145E-12;171975.0, 172139.0, 172674.0, 172942.0, 173168.0, 173334.0, 173858.0, 176161.0, 176978.0, 178612.0, 178943.0, 179053.0, 179493.0, 179637.0, 179645.0
GO:0048856;BP;e;anatomical structure development;29/908;259/46923;4.24252E-14;2;29;1.55998E-10;9.17633E-12;172197.0, 173495.0, 174178.0, 174226.0, 174687.0, 175126.0, 176724.0, 176901.0, 176985.0, 177486.0, 177695.0, 177872.0, 178029.0, 179187.0, 179296.0, 179298.0, 179619.0, 179668.0, 179693.0, 180218.0, 180902.0, 180907.0, 180908.0, 180909.0, 184081.0, 184366.0, 188672.0, 189050.0, 189052.0
GO:0006096;BP;e;glycolytic process;11/908;24/46923;2.66257E-13;12;11;9.79026E-10;5.43903E-11;174423.0, 174603.0, 174844.0, 175827.0, 176788.0, 177108.0, 177235.0, 179945.0, 180601.0, 3565504.0, 3565996.0
GO:0042254;BP;e;ribosome biogenesis;14/908;49/46923;3.37169E-13;5;14;1.23977E-09;6.52511E-11;171901.0, 172815.0, 172883.0, 172943.0, 173169.0, 173232.0, 174168.0, 176072.0, 176084.0, 176504.0, 176531.0, 176863.0, 178173.0, 179442.0
GO:0006414;BP;e;translational elongation;9/908;15/46923;1.64988E-12;5;9;6.06659E-09;3.0333E-10;172743.0, 174367.0, 175398.0, 175975.0, 176120.0, 176373.0, 178419.0, 179522.0, 181044.0
GO:0007005;BP;e;mitochondrion organization;12/908;36/46923;2.09695E-12;5;12;7.71048E-09;3.67166E-10;171768.0, 174034.0, 175126.0, 175316.0, 175331.0, 175529.0, 175801.0, 176101.0, 176122.0, 176609.0, 176773.0, 177524.0
GO:0006886;BP;e;intracellular protein transport;18/908;110/46923;4.61877E-12;7;18;1.69832E-08;7.71964E-10;171860.0, 173436.0, 174675.0, 175801.0, 176434.0, 177027.0, 177072.0, 177217.0, 177595.0, 177779.0, 178078.0, 178620.0, 179150.0, 179160.0, 179213.0, 179510.0, 179567.0, 179691.0
GO:0016192;BP;e;vesicle-mediated transport;18/908;111/46923;5.41394E-12;4;18;1.99071E-08;8.65525E-10;171691.0, 171860.0, 171956.0, 173277.0, 173335.0, 174675.0, 175801.0, 175833.0, 176434.0, 176609.0, 177072.0, 177217.0, 177595.0, 177779.0, 178402.0, 179150.0, 179213.0, 266648.0
GO:0042274;BP;e;ribosomal small subunit biogenesis;9/908;17/46923;7.73993E-12;5;9;2.84597E-08;1.18582E-09;172901.0, 173260.0, 174534.0, 174699.0, 175786.0, 175901.0, 176006.0, 177503.0, 178012.0
GO:0032446;BP;e;protein modification by small protein conjugation;8/908;13/46923;2.25256E-11;8;8;8.28266E-08;3.31307E-09;171734.0, 173072.0, 175185.0, 176363.0, 177073.0, 177855.0, 178006.0, 3565767.0
GO:0050829;BP;e;defense response to Gram-negative bacterium;18/908;121/46923;2.42344E-11;7;18;8.91099E-08;3.42731E-09;171647.0, 172505.0, 172743.0, 172981.0, 175240.0, 175410.0, 175541.0, 175587.0, 176281.0, 176512.0, 177109.0, 177157.0, 177343.0, 179428.0, 179971.0, 180993.0, 180994.0, 181079.0
GO:0007049;BP;e;cell cycle;22/908;191/46923;2.80309E-11;2;22;1.0307E-07;3.8174E-09;172505.0, 172837.0, 172891.0, 173872.0, 174233.0, 174803.0, 175757.0, 175922.0, 176374.0, 176503.0, 176796.0, 177658.0, 177965.0, 178458.0, 178831.0, 179358.0, 179486.0, 179971.0, 180040.0, 183241.0, 187262.0, 3564807.0
GO:0010468;BP;e;regulation of gene expression;16/908;98/46923;7.3347E-11;7;16;2.69697E-07;9.63203E-09;172079.0, 172981.0, 174690.0, 175410.0, 175587.0, 175817.0, 176516.0, 176991.0, 177084.0, 177343.0, 177943.0, 178997.0, 180326.0, 181545.0, 181772.0, 266820.0
GO:0006633;BP;e;fatty acid biosynthetic process;11/908;38/46923;1.0026E-10;8;11;3.68656E-07;1.27123E-08;172715.0, 173500.0, 174140.0, 176008.0, 176622.0, 177321.0, 177787.0, 178291.0, 178293.0, 178387.0, 188513.0
GO:0031581;BP;e;hemidesmosome assembly;8/908;15/46923;1.08824E-10;7;8;4.00145E-07;1.33382E-08;175126.0, 175227.0, 175384.0, 177084.0, 177101.0, 177486.0, 178362.0, 178997.0
GO:0051301;BP;e;cell division;19/908;153/46923;1.69441E-10;2;19;6.23035E-07;2.00979E-08;172505.0, 172837.0, 172891.0, 173872.0, 174233.0, 174803.0, 175922.0, 176374.0, 176503.0, 176796.0, 177658.0, 177965.0, 178458.0, 179358.0, 179486.0, 180040.0, 183241.0, 187262.0, 3564807.0
GO:0010629;BP;e;negative regulation of gene expression;13/908;63/46923;2.10281E-10;8;13;7.73205E-07;2.41626E-08;171888.0, 172743.0, 172773.0, 172775.0, 172910.0, 173738.0, 175410.0, 176512.0, 178354.0, 178614.0, 178988.0, 181271.0, 181545.0
GO:0000028;BP;e;ribosomal small subunit assembly;7/908;11/46923;3.06276E-10;7;7;1.12618E-06;3.41265E-08;172693.0, 172805.0, 175628.0, 176006.0, 176975.0, 178012.0, 178538.0
GO:0006811;BP;e;monoatomic ion transport;32/908;450/46923;4.09365E-10;4;32;1.50524E-06;4.42716E-08;171943.0, 171944.0, 172134.0, 172196.0, 172216.0, 172613.0, 172673.0, 174272.0, 174596.0, 174743.0, 175605.0, 176257.0, 176338.0, 176383.0, 176512.0, 177004.0, 177017.0, 177089.0, 177442.0, 177524.0, 177626.0, 177757.0, 177795.0, 179796.0, 180534.0, 180692.0, 180718.0, 180956.0, 182726.0, 187779.0, 3564970.0, 3565679.0
GO:0042273;BP;e;ribosomal large subunit biogenesis;8/908;18/46923;7.02846E-10;5;8;2.58437E-06;7.3839E-08;172815.0, 172818.0, 173169.0, 174166.0, 174168.0, 174379.0, 176072.0, 176863.0
GO:0010628;BP;e;positive regulation of gene expression;15/908;99/46923;8.48508E-10;8;15;3.11996E-06;8.45601E-08;171687.0, 172981.0, 174333.0, 175240.0, 175410.0, 176991.0, 177157.0, 177343.0, 177921.0, 179486.0, 180326.0, 180864.0, 181271.0, 185872.0, 190051.0
GO:0042026;BP;e;protein refolding;9/908;26/46923;8.5089E-10;3;9;3.12872E-06;8.45601E-08;173341.0, 174203.0, 175316.0, 176471.0, 177778.0, 178507.0, 178873.0, 180880.0, 3565862.0
GO:0016567;BP;e;protein ubiquitination;18/908;152/46923;1.1145E-09;9;18;4.098E-06;1.06538E-07;171647.0, 172773.0, 174782.0, 175413.0, 175840.0, 175985.0, 176363.0, 176718.0, 177073.0, 177084.0, 177486.0, 177580.0, 177855.0, 178006.0, 178839.0, 178840.0, 179358.0, 187262.0
GO:0000281;BP;e;mitotic cytokinesis;10/908;36/46923;1.12999E-09;5;10;4.15499E-06;1.06538E-07;171601.0, 173872.0, 175440.0, 176796.0, 177895.0, 178250.0, 179533.0, 179534.0, 179535.0, 180767.0
GO:0006366;BP;e;transcription by RNA polymerase II;9/908;27/46923;1.25438E-09;9;9;4.61237E-06;1.12807E-07;171763.0, 172412.0, 174208.0, 174630.0, 175056.0, 175660.0, 177190.0, 177206.0, 184886.0
GO:0036498;BP;e;IRE1-mediated unfolded protein response;16/908;118/46923;1.25784E-09;6;16;4.62508E-06;1.12807E-07;171876.0, 173171.0, 174268.0, 175472.0, 175541.0, 176281.0, 176512.0, 176703.0, 177072.0, 177073.0, 177343.0, 178013.0, 178997.0, 180724.0, 180880.0, 266837.0
GO:0007035;BP;e;vacuolar acidification;6/908;8/46923;1.39919E-09;9;6;5.14484E-06;1.22496E-07;172134.0, 174743.0, 176257.0, 177626.0, 180692.0, 181558.0
GO:0001732;BP;e;formation of cytoplasmic translation initiation complex;7/908;13/46923;1.53962E-09;7;7;5.66117E-06;1.28663E-07;172858.0, 174478.0, 175138.0, 176094.0, 177236.0, 179165.0, 179779.0
GO:0000027;BP;e;ribosomal large subunit assembly;7/908;13/46923;1.53962E-09;7;7;5.66117E-06;1.28663E-07;172617.0, 172943.0, 174311.0, 174371.0, 176015.0, 180748.0, 186322.0
GO:0050830;BP;e;defense response to Gram-positive bacterium;13/908;74/46923;1.72847E-09;7;13;6.35559E-06;1.41235E-07;171647.0, 171751.0, 171934.0, 172981.0, 173171.0, 174050.0, 176257.0, 177157.0, 177989.0, 179428.0, 180993.0, 180994.0, 181545.0
GO:0045087;BP;e;innate immune response;23/908;260/46923;1.97753E-09;7;23;7.27137E-06;1.58073E-07;171997.0, 172981.0, 173842.0, 174307.0, 175029.0, 175033.0, 175034.0, 175240.0, 175410.0, 176136.0, 176281.0, 177224.0, 177856.0, 178049.0, 178293.0, 178564.0, 179428.0, 179545.0, 180613.0, 180917.0, 180993.0, 181079.0, 191209.0
GO:0048477;BP;e;oogenesis;11/908;50/46923;2.51917E-09;5;11;9.26297E-06;1.97085E-07;171768.0, 173073.0, 174034.0, 175284.0, 175680.0, 176503.0, 176625.0, 177236.0, 177533.0, 177855.0, 179510.0
GO:0009408;BP;e;response to heat;12/908;64/46923;3.34944E-09;4;12;1.23159E-05;2.56581E-07;173738.0, 174050.0, 175541.0, 176471.0, 177343.0, 177778.0, 178507.0, 178997.0, 179060.0, 179971.0, 180100.0, 180695.0
GO:0002183;BP;e;cytoplasmic translational initiation;7/908;15/46923;5.58147E-09;4;7;2.05231E-05;4.18838E-07;172858.0, 174478.0, 175138.0, 175966.0, 176094.0, 177236.0, 179779.0
GO:0040011;BP;e;locomotion;14/908;97/46923;5.9202E-09;1;14;2.17686E-05;4.35371E-07;171956.0, 173319.0, 175126.0, 175440.0, 175817.0, 176179.0, 176257.0, 177366.0, 178640.0, 179534.0, 179671.0, 181644.0, 181776.0, 259839.0
GO:0006508;BP;e;proteolysis;25/908;331/46923;1.00703E-08;5;25;3.70284E-05;7.26047E-07;171704.0, 171876.0, 173334.0, 173744.0, 174307.0, 174614.0, 174802.0, 174996.0, 176122.0, 176136.0, 177940.0, 178013.0, 178612.0, 179053.0, 179209.0, 179211.0, 179412.0, 179637.0, 179645.0, 180251.0, 180915.0, 180917.0, 180947.0, 181572.0, 34700645.0
GO:0014057;BP;e;positive regulation of acetylcholine secretion, neurotransmission;6/908;11/46923;2.19652E-08;9;6;8.0766E-05;1.55319E-06;171751.0, 171988.0, 177940.0, 178458.0, 178537.0, 179412.0
GO:0006631;BP;e;fatty acid metabolic process;13/908;91/46923;2.3407E-08;7;13;8.60675E-05;1.60528E-06;172071.0, 172715.0, 173500.0, 174140.0, 176008.0, 176376.0, 177321.0, 177787.0, 178016.0, 178291.0, 178293.0, 178387.0, 188513.0
GO:0040018;BP;e;positive regulation of multicellular organism growth;10/908;48/46923;2.35749E-08;6;10;8.6685E-05;1.60528E-06;171768.0, 172520.0, 174034.0, 175284.0, 175410.0, 177366.0, 179040.0, 179629.0, 180603.0, 181271.0
GO:0007010;BP;e;cytoskeleton organization;8/908;27/46923;3.05588E-08;5;8;0.000112365;2.043E-06;172034.0, 172687.0, 173973.0, 173976.0, 177482.0, 180414.0, 181227.0, 181698.0
GO:0015986;BP;e;proton motive force-driven ATP synthesis;7/908;19/46923;4.0847E-08;12;7;0.000150194;2.68204E-06;172673.0, 175605.0, 176257.0, 178830.0, 180718.0, 180956.0, 3564970.0
GO:0006360;BP;e;transcription by RNA polymerase I;6/908;12/46923;4.32076E-08;9;6;0.000158874;2.69279E-06;171763.0, 172412.0, 174630.0, 175015.0, 175660.0, 184886.0
GO:0010286;BP;e;heat acclimation;6/908;12/46923;4.32076E-08;5;6;0.000158874;2.69279E-06;172981.0, 175410.0, 178113.0, 180326.0, 180359.0, 266858.0
GO:0000470;BP;e;maturation of LSU-rRNA;6/908;12/46923;4.32076E-08;10;6;0.000158874;2.69279E-06;171853.0, 173169.0, 173232.0, 174645.0, 176531.0, 177203.0
GO:0000387;BP;e;spliceosomal snRNP assembly;6/908;13/46923;7.89231E-08;7;6;0.0002902;4.83667E-06;174072.0, 174193.0, 176668.0, 177674.0, 178483.0, 179639.0
GO:0043065;BP;e;positive regulation of apoptotic process;7/908;21/46923;9.1131E-08;6;7;0.000335089;5.49326E-06;172775.0, 172910.0, 172981.0, 176380.0, 176773.0, 177084.0, 179779.0
GO:0006086;BP;e;acetyl-CoA biosynthetic process from pyruvate;4/908;4/46923;1.3931E-07;13;4;0.000512243;8.26198E-06;177108.0, 178524.0, 179945.0, 3565996.0
GO:0007097;BP;e;nuclear migration;7/908;24/46923;2.57854E-07;5;7;0.00094813;1.50497E-05;172034.0, 172041.0, 172687.0, 173973.0, 173976.0, 180414.0, 181698.0
GO:0031507;BP;e;heterochromatin formation;6/908;16/46923;3.50445E-07;10;6;0.001288587;2.01342E-05;172687.0, 173973.0, 173976.0, 176702.0, 180414.0, 181698.0
GO:0000278;BP;e;mitotic cell cycle;9/908;49/46923;3.7568E-07;3;9;0.001381377;2.1252E-05;172831.0, 173167.0, 175419.0, 175519.0, 176374.0, 176501.0, 177965.0, 178117.0, 180040.0
GO:0000132;BP;e;establishment of mitotic spindle orientation;9/908;50/46923;4.50299E-07;9;9;0.001655748;2.50871E-05;172773.0, 172831.0, 173007.0, 173149.0, 173167.0, 174233.0, 174803.0, 177602.0, 178113.0
GO:0018107;BP;e;peptidyl-threonine phosphorylation;7/908;26/46923;4.73815E-07;8;7;0.001742219;2.60033E-05;172978.0, 173149.0, 176374.0, 176808.0, 177921.0, 178250.0, 180695.0
GO:0006334;BP;e;nucleosome assembly;6/908;17/46923;5.32702E-07;9;6;0.001958746;2.88051E-05;172242.0, 177390.0, 177433.0, 177636.0, 178866.0, 181545.0
GO:0008219;BP;e;cell death;6/908;18/46923;7.85934E-07;2;6;0.002889881;4.18823E-05;179209.0, 179211.0, 180251.0, 180917.0, 180947.0, 34700645.0
GO:0030536;BP;e;larval feeding behavior;5/908;11/46923;1.12554E-06;4;5;0.004138602;5.91229E-05;175410.0, 176793.0, 176991.0, 177940.0, 179412.0
GO:0006629;BP;e;lipid metabolic process;18/908;239/46923;1.18702E-06;3;18;0.004364691;6.14745E-05;173500.0, 173901.0, 174140.0, 175369.0, 175863.0, 176008.0, 176376.0, 177321.0, 177787.0, 178291.0, 178293.0, 178387.0, 178537.0, 178615.0, 178854.0, 181026.0, 181605.0, 188513.0
GO:0007017;BP;e;microtubule-based process;7/908;30/46923;1.37078E-06;2;7;0.005040376;7.00052E-05;172831.0, 173167.0, 175419.0, 175519.0, 175922.0, 176501.0, 178250.0
GO:0040012;BP;e;regulation of locomotion;8/908;43/46923;1.51813E-06;3;8;0.005582161;7.6468E-05;171988.0, 172505.0, 177540.0, 178537.0, 179077.0, 179629.0, 180603.0, 181719.0
GO:0043248;BP;e;proteasome assembly;4/908;6/46923;2.02575E-06;6;4;0.007448676;9.80089E-05;175284.0, 175972.0, 179092.0, 3565888.0
GO:0051693;BP;e;actin filament capping;4/908;6/46923;2.02575E-06;12;4;0.007448676;9.80089E-05;174673.0, 179077.0, 179629.0, 180603.0
GO:0018279;BP;e;protein N-linked glycosylation via asparagine;4/908;6/46923;2.02575E-06;8;4;0.007448676;9.80089E-05;174268.0, 175886.0, 176089.0, 177456.0
GO:0051321;BP;e;meiotic cell cycle;12/908;116/46923;2.80129E-06;3;12;0.01030034;0.000133771;171997.0, 173872.0, 175922.0, 176374.0, 176702.0, 177815.0, 178113.0, 179358.0, 179486.0, 180040.0, 187262.0, 3564807.0
GO:0002376;BP;e;immune system process;6/908;22/46923;2.95663E-06;1;6;0.010871517;0.000139378;171997.0, 172981.0, 175240.0, 175410.0, 179428.0, 180613.0
GO:0009880;BP;e;embryonic pattern specification;5/908;13/46923;3.03595E-06;3;5;0.011163181;0.000141306;177343.0, 178250.0, 178845.0, 179224.0, 179912.0
GO:0006417;BP;e;regulation of translation;8/908;49/46923;4.26195E-06;9;8;0.0156712;0.00019589;173738.0, 176084.0, 176094.0, 176625.0, 176755.0, 177343.0, 177895.0, 190051.0
GO:0051664;BP;e;nuclear pore localization;5/908;14/46923;4.64712E-06;6;5;0.017087448;0.000208691;172687.0, 173973.0, 173976.0, 180414.0, 181698.0
GO:0006611;BP;e;protein export from nucleus;4/908;7/46923;4.65398E-06;8;4;0.017112688;0.000208691;172434.0, 178113.0, 179160.0, 179971.0
GO:0012501;BP;e;programmed cell death;7/908;36/46923;5.08088E-06;3;7;0.0186824;0.000225089;172216.0, 174050.0, 176802.0, 178997.0, 180251.0, 180947.0, 187779.0
GO:0031120;BP;e;snRNA pseudouridine synthesis;3/908;3/46923;7.22257E-06;10;3;0.026557392;0.000308807;172883.0, 176504.0, 176531.0
GO:0080058;BP;e;protein deglutathionylation;3/908;3/46923;7.22257E-06;6;3;0.026557392;0.000308807;172433.0, 175472.0, 180724.0
GO:0031118;BP;e;rRNA pseudouridine synthesis;3/908;3/46923;7.22257E-06;11;3;0.026557392;0.000308807;172883.0, 176504.0, 176531.0
GO:0006979;BP;e;response to oxidative stress;9/908;69/46923;7.33953E-06;3;9;0.026987449;0.000310201;171768.0, 172981.0, 174034.0, 175410.0, 175573.0, 177343.0, 180326.0, 180695.0, 266858.0
GO:0032436;BP;e;positive regulation of proteasomal ubiquitin-dependent protein catabolic process;6/908;26/46923;8.53988E-06;10;6;0.03140113;0.000352822;172981.0, 173149.0, 175524.0, 176374.0, 177486.0, 178250.0
GO:0040034;BP;e;regulation of development, heterochronic;6/908;26/46923;8.53988E-06;4;6;0.03140113;0.000352822;173738.0, 175410.0, 178354.0, 181337.0, 181504.0, 181719.0
GO:0045910;BP;e;negative regulation of DNA recombination;4/908;8/46923;9.16476E-06;8;4;0.033698841;0.000370317;172242.0, 177390.0, 178866.0, 181545.0
GO:1903998;BP;e;regulation of eating behavior;4/908;8/46923;9.16476E-06;6;4;0.033698841;0.000370317;175410.0, 176991.0, 177940.0, 179412.0
GO:0090435;BP;e;protein localization to nuclear envelope;5/908;16/46923;9.81792E-06;7;5;0.036100477;0.000388177;172687.0, 173973.0, 173976.0, 180414.0, 181698.0
GO:0051085;BP;e;chaperone cofactor-dependent protein refolding;5/908;16/46923;9.81792E-06;5;5;0.036100477;0.000388177;174203.0, 175315.0, 178507.0, 178873.0, 180880.0
GO:0045944;BP;e;positive regulation of transcription by RNA polymerase II;16/908;226/46923;1.00393E-05;10;16;0.036914413;0.000392707;171997.0, 172981.0, 173738.0, 175240.0, 175410.0, 175541.0, 175587.0, 176380.0, 176702.0, 176802.0, 177157.0, 177343.0, 178066.0, 178845.0, 180359.0, 3565337.0
GO:0010623;BP;e;programmed cell death involved in cell development;5/908;17/46923;1.36868E-05;4;5;0.050326199;0.000524231;173744.0, 175840.0, 177855.0, 178006.0, 179358.0
GO:0006998;BP;e;nuclear envelope organization;5/908;17/46923;1.36868E-05;5;5;0.050326199;0.000524231;172687.0, 173973.0, 173976.0, 180414.0, 181698.0
GO:0040024;BP;e;dauer larval development;9/908;75/46923;1.46702E-05;6;9;0.053942498;0.000550434;172981.0, 174050.0, 175410.0, 176512.0, 177943.0, 179971.0, 180100.0, 181348.0, 266845.0
GO:0006364;BP;e;rRNA processing;9/908;75/46923;1.46702E-05;9;9;0.053942498;0.000550434;172883.0, 172901.0, 173232.0, 174168.0, 175968.0, 176072.0, 176504.0, 176531.0, 179999.0
GO:0006888;BP;e;endoplasmic reticulum to Golgi vesicle-mediated transport;8/908;58/46923;1.554E-05;6;8;0.057140538;0.000577177;171860.0, 173277.0, 177072.0, 177217.0, 177779.0, 178078.0, 179213.0, 179567.0
GO:0045887;BP;e;positive regulation of synaptic assembly at neuromuscular junction;4/908;9/46923;1.6243E-05;8;4;0.059725331;0.00059134;172981.0, 175410.0, 177940.0, 179412.0
GO:0010883;BP;e;regulation of lipid storage;4/908;9/46923;1.6243E-05;4;4;0.059725331;0.00059134;172981.0, 175410.0, 180100.0, 180326.0
