GO;NS;enrichment;name;ratio_in_study;ratio_in_pop;p_uncorrected;depth;study_count;p_bonferroni;p_fdr_bh;study_items
GO:0005687;CC;e;U4 snRNP;2/102;7/46923;9.75646E-05;5;2;0.091613118;0.003393078;171834.0, 178483.0
GO:0045263;CC;e;proton-transporting ATP synthase complex, coupling factor F(o);2/102;8/46923;0.000129901;4;2;0.121977409;0.004206118;172673.0, 180956.0
GO:0000276;CC;e;mitochondrial proton-transporting ATP synthase complex, coupling factor F(o);2/102;8/46923;0.000129901;5;2;0.121977409;0.004206118;172673.0, 180956.0
GO:0005832;CC;e;chaperonin-containing T-complex;2/102;9/46923;0.000166779;4;2;0.156605489;0.00505179;174330.0, 174421.0
GO:0033179;CC;e;proton-transporting V-type ATPase, V0 domain;2/102;9/46923;0.000166779;4;2;0.156605489;0.00505179;176383.0, 177757.0
GO:0016020;CC;e;membrane;28/102;6341/46923;0.000203634;2;28;0.191212779;0.005975399;171865.0, 172370.0, 172421.0, 172482.0, 172673.0, 174272.0, 174428.0, 174596.0, 174992.0, 175254.0, 175801.0, 176383.0, 176626.0, 176828.0, 177027.0, 177028.0, 177231.0, 177442.0, 177757.0, 178288.0, 178291.0, 179094.0, 179213.0, 179477.0, 180422.0, 180912.0, 180956.0, 259519.0
GO:0005682;CC;e;U5 snRNP;2/102;11/46923;0.000254079;5;2;0.238579804;0.007229691;171834.0, 178483.0
GO:0005759;CC;e;mitochondrial matrix;3/102;71/46923;0.000511936;5;3;0.480708152;0.014138475;175315.0, 175772.0, 3565996.0
GO:0005686;CC;e;U2 snRNP;2/102;18/46923;0.000699814;5;2;0.657125567;0.018420889;171834.0, 178483.0
GO:0005694;CC;e;chromosome;4/102;183/46923;0.000706232;5;4;0.663152017;0.018420889;176503.0, 176660.0, 177540.0, 266820.0
GO:0043186;CC;e;P granule;3/102;90/46923;0.001021288;7;3;0.958989543;0.025918636;171834.0, 177540.0, 178483.0
GO:0031966;CC;e;mitochondrial membrane;2/102;28/46923;0.001704625;4;2;1;0.042122172;172673.0, 180956.0
GO:0034998;CC;e;oligosaccharyltransferase I complex;1/102;1/46923;0.002173774;5;1;1;0.049784728;179094.0
GO:0033178;CC;e;proton-transporting two-sector ATPase complex, catalytic domain;1/102;1/46923;0.002173774;3;1;1;0.049784728;177442.0
GO:1902560;CC;e;GMP reductase complex;1/102;1/46923;0.002173774;4;1;1;0.049784728;178834.0
GO:0046961;MF;e;proton-transporting ATPase activity, rotational mechanism;6/102;20/46923;3.4363E-12;8;6;7.6492E-09;7.6492E-09;172216.0, 174596.0, 176383.0, 177442.0, 177757.0, 180534.0
GO:0015078;MF;e;proton transmembrane transporter activity;5/102;14/46923;8.66306E-11;5;5;1.9284E-07;9.64199E-08;172216.0, 172673.0, 174272.0, 176383.0, 180956.0
GO:0003723;MF;e;RNA binding;12/102;457/46923;3.86496E-10;4;12;8.6034E-07;2.8678E-07;171834.0, 172921.0, 173071.0, 174333.0, 174645.0, 175141.0, 176103.0, 176504.0, 176863.0, 178483.0, 179999.0, 266853.0
GO:0030515;MF;e;snoRNA binding;3/102;10/46923;1.18348E-06;5;3;0.00263442;0.000658605;171901.0, 172883.0, 179442.0
GO:0000166;MF;e;nucleotide binding;12/102;1015/46923;2.23145E-06;4;12;0.004967218;0.000993444;172978.0, 173205.0, 174330.0, 174333.0, 174421.0, 175801.0, 176503.0, 176771.0, 176863.0, 177595.0, 178028.0, 179535.0
GO:0046933;MF;e;proton-transporting ATP synthase activity, rotational mechanism;3/102;16/46923;5.47071E-06;8;3;0.01217779;0.002029632;172673.0, 178830.0, 180956.0
GO:0005525;MF;e;GTP binding;6/102;215/46923;8.0556E-06;8;6;0.017931763;0.00256168;173205.0, 175801.0, 176503.0, 176863.0, 177595.0, 178620.0
GO:0003735;MF;e;structural constituent of ribosome;5/102;149/46923;1.96183E-05;2;5;0.043670273;0.00480644;172921.0, 175141.0, 175235.0, 176975.0, 179153.0
GO:0016853;MF;e;isomerase activity;4/102;74/46923;2.15405E-05;2;4;0.047949069;0.00480644;173160.0, 173374.0, 175472.0, 176504.0
GO:0003924;MF;e;GTPase activity;5/102;152/46923;2.15923E-05;7;5;0.048064398;0.00480644;175801.0, 176503.0, 176863.0, 177595.0, 178620.0
GO:0016887;MF;e;ATP hydrolysis activity;5/102;170/46923;3.68975E-05;7;5;0.082133827;0.007466712;172216.0, 173205.0, 174330.0, 174333.0, 174421.0
GO:0005515;MF;e;protein binding;11/102;1163/46923;4.71514E-05;2;11;0.10495897;0.008746581;171934.0, 172978.0, 173071.0, 173073.0, 174421.0, 175922.0, 176103.0, 176503.0, 176626.0, 178028.0, 266820.0
GO:0016491;MF;e;oxidoreductase activity;7/102;451/46923;6.09088E-05;2;7;0.135583048;0.010429465;171934.0, 172655.0, 177775.0, 178291.0, 178834.0, 266858.0, 3565996.0
GO:0005524;MF;e;ATP binding;9/102;947/46923;0.000229708;8;9;0.511330394;0.035762065;172978.0, 173205.0, 174330.0, 174333.0, 174421.0, 175315.0, 176771.0, 178028.0, 179535.0
GO:0051082;MF;e;unfolded protein binding;3/102;55/46923;0.000240984;3;3;0.536430977;0.035762065;174330.0, 174421.0, 175315.0
